row_number,edd_outcome,confidence_score,confidence_reason
1,1,0.95,"SAR filed, account closed and unverifiable source of wealth with suspicious transactions."
2,0,0.95,"No adverse findings, source of wealth verified."
3,1,0.95,SAR filed and explicit narcotics trafficking connections confirmed.
4,0,1.0,Explicit outcome states no suspicious activity identified.
5,1,0.98,"SAR filed, account closed and suspicious activity indicators confirmed."
6,0,1.0,"No suspicious patterns, no adverse media or watchlist hits — explicit clean outcome."
7,0,1.0,"Explicit outcome: case closed, no suspicious activity found."
8,0,0.9,"Explicit outcome: case closed, no suspicious activity found."
9,0,1.0,No suspicious activity and no action warranted — explicit clean-case indicators.
10,1,0.95,SAR filed and explicit ties to narcotics trafficking organization
11,0,1.0,No suspicious activity identified and case closed with no action required.
12,1,0.98,SAR filed and account closed — explicit outcome.
13,0,1.0,Explicit outcome: no adverse action and clean history.
14,0,1.0,No suspicious activity identified and no adverse action required.
15,1,0.99,SAR filed and account closed — explicit outcome.
16,0,0.9,No suspicious activity identified and case closed with no action.
17,0,1.0,No suspicious activity identified and review was deemed clean.
18,1,0.95,SAR filed and account closed — explicit outcome.
19,0,1.0,"No suspicious activity, all KYC up-to-date, and no adverse signals."
20,1,0.95,"SAR filed, account closed and unverifiable source of wealth."
21,1,0.95,SAR filed and law enforcement involvement.
22,0,1.0,No suspicious activity found and case explicitly closed.
23,1,0.99,SAR filed and multiple adverse media links to financial fraud investigation.
24,0,1.0,Explicit outcome: case closed with no adverse findings.
25,1,0.99,"SAR filed, account closed, and law enforcement involvement confirmed."
26,0,0.99,No suspicious activity identified and source of wealth fully documented.
27,1,0.95,SAR filed and explicit mention of financial fraud investigation.
28,0,1.0,Alert resolved and case closed with no adverse findings.
29,0,1.0,"No suspicious activity identified, and no SAR, referral, or legal hold."
30,0,1.0,Case explicitly states 'no adverse findings' and is marked as 'case closed'.
31,1,0.95,SAR filed and relationship exited — explicit outcome.
32,1,0.95,SAR filed and clear connection to narcotics trafficking organization.
33,0,1.0,"Explicit outcome, no suspicious activity identified."
34,1,0.95,SAR filed and account closed — explicit outcome.
35,1,0.98,Confirmed trade-based money laundering and SAR filed.
36,1,0.95,SAR filed and relationship terminated — strong adverse indicators.
37,0,1.0,"Explicit outcome: no adverse action, clean history, and source of funds verified."
38,0,1.0,"No suspicious activity identified, no SAR or referral."
39,0,1.0,Explicit outcome: case closed / no action.
40,1,0.98,SAR filed and account closed — explicit outcome.
41,1,0.95,SAR filed and relationship terminated — explicit outcome.
42,1,0.98,SAR filed and account restricted — explicit outcome.
43,0,0.9,"No SAR, referral, or legal hold; account remains open and next review scheduled."
44,0,1.0,Explicit outcome — case closed/no action/monitoring only.
45,1,0.98,SAR filed and account closed — explicit outcome.
46,1,0.95,SAR filed and account restricted — explicit outcome.
47,1,0.95,SAR filed and account closed due to explicit adverse media findings and unexplained inflows.
48,0,1.0,Explicit outcome — case closed with no adverse findings.
49,1,0.98,"SAR filed, account closed and confirmed financial crime indicators."
50,0,1.0,"No suspicious patterns, account has been clean for years, and no adverse media or watchlist hits."
51,1,0.95,SAR filed and source of wealth unverifiable with escalation.
52,0,1.0,No suspicious activity identified and no SAR or referral mentioned.
53,0,1.0,Explicit outcome: case closed and no adverse action.
54,0,1.0,"No suspicious activity, case closed and no action taken."
55,1,0.95,SAR filed and account restricted — explicit outcome.
